Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,261,"Laborers, Local 261",7500,Semi-Skilled & General Labor,7514,General Laborer,8587652,63391.38,23027.08,3011.71,89430.17,12693.52,11935.82,7228.41,46525.07,135955.24
Calendar,2019,7,General City Responsibilities,DEM,,790,"SEIU, Local 1021, Misc",8200,Protection & Apprehension,8238,Public SafetyComm Disp,9240144,39864.84,1076.73,947.11,41888.68,8454.41,11906.16,3669.79,25991.84,67880.52
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,P103,Special Nurse,8592310,0,279.95,0,279.95,0,0,21.73,21.73,301.68
Calendar,2019,7,General City Responsibilities,229259,,792,Utd Pub EmpL790 SEIU-Crt Clrks,0,Untitled,420C,Deputy Court Clerk II,8501228,40949.41,0,333.6,41283.01,7892.94,2459.76,3431.81,27445.51,68728.52
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,P103,Special Nurse,8576728,31169.55,0,1601.31,32770.86,0,0,2055.56,2055.56,34826.42
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,P103,Special Nurse,8535819,89327.13,644.12,2877.18,92848.43,0,0,1575.39,1575.39,94423.82
Calendar,2019,7,General City Responsibilities,228996,,6,"Electrical Workers, Local 6",9200,Airport Operation,9240,Airport Electrician,8586850,106423.05,12808.76,12920.3,132152.11,22380.39,11935.8,9469.48,58453.03,190605.14
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,790,"SEIU, Local 1021, Misc",8200,Protection & Apprehension,8214,Parking Control Officer,8606315,62481,0,1636.32,64117.32,12158.05,11935.8,5266.15,44027.32,108144.64
Calendar,2019,7,General City Responsibilities,229982,,790,"SEIU, Local 1021, Misc",1400,"Clerical, Secretarial & Steno",1404,Clerk,8556000,16237.55,0,540,16777.55,3771.59,8811.68,1380.01,14481.14,31258.69
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7318,Electronic Maintenance Tech,8588963,59500,6558.54,3450,69508.54,12841.94,11935.8,5907.27,36099.07,105607.61
Calendar,2019,7,General City Responsibilities,208646,,790,"SEIU, Local 1021, Misc",7400,Skilled Labor,7470,Watershed Keeper,8502176,69740.03,23.32,0,69763.35,13331.45,11965.38,5487.07,45436.08,115199.43
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,8559531,123607.5,8569.65,4741.41,136918.56,23861.96,10603.22,8121.91,55587.91,192506.47
Calendar,2019,7,General City Responsibilities,DEM,,790,"SEIU, Local 1021, Misc",8200,Protection & Apprehension,8238,Public SafetyComm Disp,10100158,21638.5,624.2,611.7,22874.4,4252.02,7790.02,1799.5,13621.98,36496.38
Calendar,2019,3,Human Welfare & Neighborhood Development,HSA,,790,"SEIU, Local 1021, Misc",9900,Public Service Aide,9910,Public Service Trainee,10040139,5813.38,0,0,5813.38,0,5613.52,473.63,5924.53,11737.91
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,21,"Prof & Tech Eng, Local 21",6300,Construction Inspection,6317,Assistant Const Inspector,8501357,52895.15,0.25,0,52895.4,10108.83,11965.44,4281.14,31609.67,84505.07
Calendar,2019,7,General City Responsibilities,240658,,21,"Prof & Tech Eng, Local 21",1000,Information Systems,9976,Technology Expert I,8492803,116550.01,0,0,116550.01,21701.65,11935.76,8965.84,53800.65,170350.66
Calendar,2019,5,Culture & Recreation,REC,,790,"SEIU, Local 1021, Misc",3200,Recreation,3279,Recreation Leader,8566259,4086.24,0,0,4086.24,0,0,323.28,323.28,4409.52
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,38,"Plumbers, Local 38",7200,Supervisory-Labor & Trade,7250,Utility Plumber Supervisor 1,8571562,105718.41,42321.66,9301.53,157341.6,20735.99,11950.54,9476.73,55355.44,212697.04
Calendar,2019,6,General Administration & Finance,ADM,,790,"SEIU, Local 1021, Misc",1300,Pub Relations & Spec Assts,1322,Customer Service Agent Trainee,8514782,29839.67,38.69,747.81,30626.17,803.11,7123.74,2395.18,16810.21,47436.38
Calendar,2019,7,General City Responsibilities,232048,,790,"SEIU, Local 1021, Misc",3600,Library,3616,Library Technical Assistant 1,8535404,60923.76,0,1360.82,62284.58,11906.97,10070.18,5019.2,39419.99,101704.57
Calendar,2019,7,General City Responsibilities,228996,,790,"SEIU, Local 1021, Misc",1200,Personnel,1220,Payroll and Personnel Clerk,8508278,68706.07,7.7,552,69265.77,13238.92,11935.84,5759.44,45601.48,114867.25
Calendar,2019,7,General City Responsibilities,229259,,792,Utd Pub EmpL790 SEIU-Crt Clrks,0,Untitled,430C,Deputy Court Clerk III,8501213,83098.4,795.19,552,84445.59,15990.46,11950.58,6891.2,49499.22,133944.81
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,8518812,118693.22,5689.34,5594.78,129977.34,23080.2,10144.24,9491.81,55325.39,185302.73
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,261,"Laborers, Local 261",9900,Public Service Aide,9916,Public Svc Aide-Public Works,8591361,0,0,317.73,317.73,0,0,24.31,24.31,342.04
Calendar,2019,7,General City Responsibilities,102644,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,8518753,59176.05,19211.02,1528.41,79915.48,11517.3,8145.36,5877.21,40854.35,120769.83
Calendar,2019,7,General City Responsibilities,DEM,,21,"Prof & Tech Eng, Local 21",1800,"Budget, Admn & Stats Analysis",1824,Pr Administrative Analyst,8579305,118436.02,0,0,118436.02,22084.37,11950.56,9478.31,58165.8,176601.82
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,8551332,0,28.89,0,28.89,0,0,2.29,2.29,31.18
Calendar,2019,7,General City Responsibilities,229042,,351,"Municipal Exec Assoc, Misc",900,Management,931,Manager III,8546698,125708.57,0,0,125708.57,23414.81,0,29821.36,53236.17,178944.74
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,21,"Prof & Tech Eng, Local 21",1300,Pub Relations & Spec Assts,1312,Public Information Officer,8543316,70949.22,0,640,71589.22,13707.77,11935.74,5719.86,46030.81,117620.03
Calendar,2019,3,Human Welfare & Neighborhood Development,HSA,,535,"SEIU, Local 1021, Misc",2900,Human Services,2940,Protective Services Worker,8591650,79085.59,0,1060,80145.59,15320.86,9270.62,6529.07,45857.69,126003.28
Calendar,2019,4,Community Health,DPH,,164,"Physician/Dentists 8-CC, UAPD",2200,Medical & Dental,2230,Physician Specialist,8598941,125933.34,0,3595,129528.34,23607.03,10721.64,7079.56,48403.31,177931.65
Calendar,2019,1,Public Protection,JUV,,790,"SEIU, Local 1021, Misc",8300,Correction & Detention,8562,"Counselor, Juvenile Hall SFERS",8514079,55504,4885.8,755,61144.8,10969.49,11743.3,1264.97,34717.4,95862.2
Calendar,2019,6,General Administration & Finance,TIS,,790,"SEIU, Local 1021, Misc",7300,Journeyman Trade,7368,Senior Comm Systems Technican,8583145,129510.02,9322.32,0,138832.34,24123.07,11935.82,9722.55,60448.8,199281.14
Calendar,2019,7,General City Responsibilities,102644,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,10020157,14536,1319.07,525.04,16380.11,3319.15,9566.82,1235.35,13855.18,30235.29
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,261,"Laborers, Local 261",7200,Supervisory-Labor & Trade,7215,General Laborer Supervisor 1,8527606,29005.23,262.91,425.73,29693.87,5630,4828.78,2334.3,19005.68,48699.55
Calendar,2019,7,General City Responsibilities,240658,,790,"SEIU, Local 1021, Misc",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,10090151,17959.8,0,0,17959.8,4037.37,8856.06,1430.86,14076.85,32036.65
Calendar,2019,7,General City Responsibilities,229975,,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3417,Gardener,8493180,38332,137.96,1110,39579.96,7638.28,11935.74,3229.35,27986.23,67566.19
Calendar,2019,6,General Administration & Finance,MYR,,790,"SEIU, Local 1021, Misc",9700,Community Development,9770,Community Development Asst,8546823,54457.1,0,0,54457.1,10409.36,11935.78,4375.11,40447.87,94904.97
Calendar,2019,4,Community Health,DPH,,250,"SEIU, Local 1021, Misc",2600,Dietary & Food,2604,Food Service Worker,8517942,44590.7,65.34,580.89,45236.93,11606.73,11935.8,4284.34,42494.17,87731.1
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,8519358,105455.09,3247.64,652.6,109355.33,19704.08,8041.74,8226.46,50741.54,160096.87
Calendar,2019,7,General City Responsibilities,230010,,798,"Firefighters,Local 798, Unit 1",H000,Fire Services,H020,"Lieutenant, Fire Suppression",8604854,118235.77,8500.6,9040.09,135776.46,23022.87,14304.78,2320.45,56023.42,191799.88
Calendar,2019,7,General City Responsibilities,229042,,790,"SEIU, Local 1021, Misc",1400,"Clerical, Secretarial & Steno",1458,Legal Secretary 1,8568971,78400.02,0,0,78400.02,14986.81,11935.76,6277.75,47867.7,126267.72
Calendar,2019,7,General City Responsibilities,229982,,790,"SEIU, Local 1021, Misc",9900,Public Service Aide,9910,Public Service Trainee,8710041,20025.09,0,855.37,20880.46,846.28,0,1691.22,2537.5,23417.96
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,P103,Special Nurse,8527208,53942.75,0,10325.86,64268.61,0,0,3779.52,3779.52,68048.13
Calendar,2019,7,General City Responsibilities,232108,,911,POA,Q000,Police Services,Q062,Lieutenant 3,8576454,0,1278.42,0,1278.42,0,0,0,0,1278.42
Calendar,2019,7,General City Responsibilities,232118,,790,"SEIU, Local 1021, Misc",9900,Public Service Aide,9922,PS Aide to Prof,8604298,15479.25,0,1323.05,16802.3,2331.21,2415.34,1266.1,13968.39,30770.69
Calendar,2019,5,Culture & Recreation,LIB,,790,"SEIU, Local 1021, Misc",3600,Library,3610,Library Assistant,8556228,29965.65,0,308.45,30274.1,7035.32,9329.86,2493.14,24359.4,54633.5
Calendar,2019,7,General City Responsibilities,230010,,798,"Firefighters,Local 798, Unit 1",H000,Fire Services,H002,Firefighter,8548288,84716.09,4394.64,9265.73,98376.46,17983.66,14290,1708.39,51586.07,149962.53
Calendar,2019,6,General Administration & Finance,ADM,,351,"Municipal Exec Assoc, Misc",900,Management,941,Manager VI,8514519,173020.02,0,0,173020.02,32227.05,11935.78,17384.76,76214.91,249234.93
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,130,"Auto Machinist, Local 1414",7300,Journeyman Trade,7332,Maintenance Machinist,8560656,63597,41100.24,0,104697.24,12729.03,11935.8,6897.36,39752.23,144449.47
Calendar,2019,7,General City Responsibilities,208646,,261,"Laborers, Local 261",7500,Semi-Skilled & General Labor,7514,General Laborer,8571678,62020,41.53,940.95,63002.48,12037.73,11935.8,5174.48,43237.07,106239.55
Calendar,2019,4,Community Health,DPH,,535,"SEIU, Local 1021, Misc",2900,Human Services,2903,Hospital Eligibility Worker,8559269,48965.07,15730.77,934.52,65630.36,9535.81,11832.18,5075.81,34116.12,99746.48
Calendar,2019,7,General City Responsibilities,229992,,790,"SEIU, Local 1021, Misc",9700,Community Development,9772,Community Development Spec,8515697,67362.23,0,0,67362.23,12883.04,11950.62,5462.64,43907.84,111270.07
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,P103,Special Nurse,8592504,91177.2,0,0,91177.2,0,0,5298.07,5298.07,96475.27
Calendar,2019,7,General City Responsibilities,228996,,351,"Municipal Exec Assoc, Misc",900,Management,932,Manager IV,8495782,110229.91,0,26175.66,136405.57,20534.85,3762.68,13417.41,52610.7,189016.27
Calendar,2019,6,General Administration & Finance,CPC,,790,"SEIU, Local 1021, Misc",9700,Community Development,9774,Sr. Community Devl Spc 1,8524331,81230.1,0,0,81230.1,15733.33,11935.76,6693.13,49029.66,130259.76
Calendar,2019,7,General City Responsibilities,229238,,790,"SEIU, Local 1021, Misc",1400,"Clerical, Secretarial & Steno",1450,Executive Secretary 1,8543585,71371.7,0,535.65,71907.35,13745.9,11151.06,5865.62,45436.02,117343.37
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,2328,Nurse Practitioner,8800016,46621.23,0,0,46621.23,8680.88,2134.04,3823.7,20919.94,67541.17
Calendar,2019,7,General City Responsibilities,232108,,911,POA,Q000,Police Services,Q002,Police Officer,8560834,83507.32,18227.97,2041.5,103776.79,15814.19,0,1749.26,17563.45,121340.24
